Preferred_Contact_Method,Product_Category_Preferences
SMS,"oil, owner, late, different, forget"
Email,"number, receive, reflect, often"
Phone,"cost, room, happen, drive, indicate"
Phone,"board, either, individual, pass"
Email,"western, black, traditional, someone, wind"
SMS,"cost, from"
SMS,"election, we, north"
Phone,than
SMS,"newspaper, task, hard, nature, century"
SMS,"century, teach, raise, growth, although"
Phone,"true, hear, program, green, understand"
Email,"end, standard"
SMS,"wind, marriage, dinner"
Email,"girl, large, anyone, foreign"
SMS,"first, movie, significant, raise"
Email,window
Email,"quickly, middle"
Email,"to, safe"
Phone,"notice, over, development"
SMS,"language, house, control"
Phone,"or, response, enough"
SMS,"agreement, life, practice, read"
SMS,"assume, tend, forward, indeed, head"
Email,"exist, anyone, animal"
Phone,"people, instead, stand, partner, region"
Email,"land, blood, town, ask, writer"
Email,"fund, more"
Phone,"way, though, sometimes, happen"
Email,"hit, tree, science, know"
Phone,"serious, beyond"
Email,resource
Phone,decide
Phone,four
Email,"capital, almost, industry"
SMS,side
SMS,"whatever, actually, blue"
SMS,"deal, within, world, and, respond"
SMS,"involve, program, kitchen, best, throw"
SMS,"ten, region, recent, film"
Phone,"body, where"
Phone,"maybe, song, than"
SMS,reduce
Phone,"capital, member"
Phone,"second, sit, identify, leader"
SMS,"force, agent"
Phone,"grow, view, range, expect, theory"
Email,age
SMS,"travel, notice, help, quickly"
Phone,"recent, beyond, response"
Phone,voice
Phone,"he, floor, thus"
SMS,where
SMS,"indicate, personal, now, reach"
Phone,"begin, born, list, truth, election"
Email,"spend, manage, until"
Email,"choose, music"
Email,"change, when, successful, need, same"
Email,"spend, opportunity"
SMS,"long, reality"
SMS,"sign, far, cold, design"
Email,main
SMS,"loss, summer, himself"
Phone,bill
SMS,"wife, officer, policy"
Email,"traditional, off"
Phone,"study, more, move, happy"
SMS,"treat, mouth"
Email,"management, face, product, loss"
Phone,"knowledge, class"
Email,"nice, treat"
SMS,"special, serious, such, then"
SMS,"goal, employee, religious"
SMS,"decide, test, question"
SMS,"vote, government"
Phone,"table, open"
Phone,"range, future"
SMS,"interview, mean"
SMS,"actually, Democrat"
Phone,"commercial, baby"
Email,"big, guess, the, note"
Phone,"later, bad, hair, contain"
Email,"light, account, way"
Email,them
Phone,"while, city, just"
Email,"so, pass, beyond, development, born"
SMS,"sit, forget"
SMS,"card, item, child, direction, modern"
Email,wall
Phone,easy
SMS,"everyone, arm"
Email,"young, various, color"
Email,"end, Democrat, fire, north, government"
SMS,"figure, pretty, commercial"
Phone,strategy
Phone,"sometimes, somebody, however"
Email,"stand, look"
Phone,"sea, oil, early"
Email,"the, front"
Phone,"senior, beat, final, good, source"
Email,history
SMS,"attack, response, still"
SMS,"happy, summer, their, keep"
Phone,"three, task, capital"
SMS,"guess, central, southern, art, take"
SMS,"hold, learn, word, billion"
Phone,"husband, pressure, however, food"
Phone,"realize, sit, nation, century"
SMS,"along, loss, kind, forward, strategy"
Email,focus
Email,seem
Email,keep
Phone,"customer, tree, continue"
SMS,"theory, like, mother, scientist"
SMS,"season, hour, talk, strong, social"
SMS,positive
Email,"summer, he, character, product, hold"
Phone,"today, she, go"
Phone,"party, event, serve, memory"
Phone,"last, resource, door, figure"
SMS,"order, task, page, western"
Email,"account, forward, first, bring, develop"
Phone,"management, style, board, partner, available"
Email,"later, trial, interview, process, wife"
SMS,"necessary, raise"
SMS,order
Phone,"kitchen, identify"
Phone,nice
Email,"job, relate, pull, world"
Phone,"consider, morning, myself"
Phone,cut
SMS,"enough, south, old"
SMS,"strategy, quite, return, star, seem"
Phone,"listen, message, hospital, focus, every"
Email,"official, during, point, cover"
SMS,"seek, several, challenge, instead, really"
SMS,"ever, sense"
Email,"simple, money, party, line"
SMS,some
Email,"argue, hospital, from"
Email,"tell, education, job, hospital"
SMS,"read, occur, series"
Phone,"parent, same, than, push"
SMS,half
SMS,"win, war, act"
Email,or
Email,three
Email,"let, money, story"
SMS,"race, senior, fire"
Phone,"actually, push, east, personal, design"
Email,"feel, key"
Phone,he
Phone,"dog, deep"
Email,"defense, relationship, family, theory, will"
Email,"decade, sport, forward, government"
SMS,"rather, level, audience, alone, choose"
Email,official
Phone,"music, word"
Email,financial
Email,"analysis, others, company, trade, whose"
Phone,"forget, us, on, daughter"
SMS,"network, else, country, science, data"
Phone,"marriage, today, successful, explain"
Email,"water, either, bag, billion"
SMS,"child, will"
Phone,"model, couple"
Email,"strategy, relationship"
Phone,"mission, evidence, stuff, sing, but"
Email,possible
Email,miss
SMS,"well, question"
Email,"maybe, ball, about, recent"
Email,general
Email,"sport, listen, hospital"
SMS,family
SMS,"economic, peace"
SMS,"old, institution, be, meeting, deep"
SMS,"eat, accept, ready, down, easy"
SMS,"player, actually"
Phone,"mind, light"
SMS,"goal, until, information, society"
Email,"physical, forget, front, attack"
Email,"moment, success, wall, think"
Email,"international, their"
Phone,economy
Email,"commercial, blue, where, would"
SMS,"chance, each, collection, size"
SMS,"something, relate, real"
Email,"natural, west, reality, music, rise"
Phone,"research, property, instead, interview, marriage"
SMS,"herself, campaign, experience, hot, western"
Phone,"sport, side"
Email,beyond
SMS,"green, yeah, might"
SMS,attorney
SMS,"another, check, growth"
SMS,"about, simply, cost"
Phone,"create, star"
Email,"lay, its, thousand"
Email,"again, star"
SMS,same
Phone,"impact, responsibility, stock, oil"
Phone,"city, discuss"
Email,"word, foot, pay"
Email,"house, air, cut, player, pass"
Email,"fact, important"
SMS,"ago, appear, kid"
Email,leave
SMS,"face, story, direction"
Phone,"positive, long"
Phone,"specific, road, shoulder, nearly"
SMS,"again, rock, control"
Email,"firm, instead, another, natural, every"
SMS,current
SMS,"yourself, action, today"
SMS,"environment, believe"
SMS,"goal, large, receive"
Phone,"avoid, lawyer, spring, environment, understand"
Email,market
SMS,"real, election, machine, car"
Email,himself
SMS,"author, then, whether"
Phone,"process, tax, interest"
Email,"show, southern"
Email,"indicate, rest, total, upon"
Phone,"act, team, there, candidate, late"
SMS,"shake, pass"
Phone,"husband, play, mouth"
Email,"require, what, blood, guess, bed"
Email,"couple, action, laugh, leave"
SMS,probably
Phone,"occur, road, adult, whose, dream"
Email,"billion, cause, lawyer, significant"
Phone,"seven, third, keep, land, discover"
Phone,"down, age, TV, current, bit"
SMS,quality
SMS,scientist
Email,"report, report, recognize"
SMS,"full, air, exactly"
Phone,"glass, himself"
SMS,"push, hear, two, economy"
Email,"apply, south, quality, her"
SMS,say
SMS,"finish, kind, service, during"
Phone,"soon, machine"
Phone,"cell, cost"
Email,"century, attention, analysis"
SMS,scene
Email,reflect
SMS,"receive, traditional"
Phone,"art, last, century, exist, same"
Email,"probably, of"
Phone,"start, together"
Email,"each, reality, Mr, many, many"
Phone,"research, enjoy, check, decision"
Phone,"top, actually"
SMS,last
Email,"carry, feel, rest, none"
Phone,hospital
SMS,"spend, box, reflect, just, important"
SMS,"possible, teacher, Democrat"
SMS,"religious, myself, scene, debate"
Email,"social, find, mention"
Email,in
Email,"yourself, floor, control"
Email,"often, realize, else"
SMS,"media, office, director, now, personal"
Email,"show, rise, anyone, reality, itself"
Email,"idea, might, everyone, church, read"
Email,"tell, win, issue, record"
Email,"animal, development"
Phone,"almost, region, western, garden, apply"
SMS,her
SMS,"drive, mention, artist"
Email,"sell, outside"
Email,"daughter, everybody"
Phone,"month, over, keep, necessary"
SMS,"product, sing, water, almost"
Email,mother
Email,"pattern, tax, even"
Email,"tend, else, later, various"
SMS,"small, almost, its"
Email,"side, program"
SMS,"couple, remember, themselves, ten"
Email,"miss, plant, usually, suffer"
SMS,product
Email,"sense, stuff, long, me, firm"
Email,"sign, article, sport, tonight"
Email,"discuss, later, tree, exactly"
SMS,"outside, despite"
Phone,"federal, inside, according, have"
Phone,"night, carry, few, determine, college"
Phone,"hand, despite, sit"
SMS,"face, do, girl, card, half"
Phone,"now, and"
Email,"card, heart, attack"
Email,"treatment, section, note"
Phone,"kind, three, safe"
Email,"own, civil, thus, like, voice"
SMS,human
Phone,"president, too, speak, room"
SMS,"save, nature, because, couple, impact"
Email,must
Phone,"concern, according, article"
Email,"what, address, behind"
Phone,"attack, understand, poor"
Phone,"guess, tonight, front"
SMS,"write, situation, phone, site, let"
Email,"wrong, say, several, alone, size"
Phone,police
SMS,"news, responsibility, much, could"
Email,start
Phone,else
SMS,"also, everybody"
SMS,"within, democratic, possible, country"
Email,"no, door, believe"
SMS,yard
Email,"reason, today, third"
Email,"soon, along, mean, low, national"
SMS,skin
Phone,"nor, seem"
Email,"best, every, source"
Email,"over, face, speak, air, method"
SMS,"produce, suffer"
Phone,"there, run, station, decide, sea"
Phone,"actually, concern, media, audience"
Phone,"eat, dark"
Phone,"coach, perhaps, stock"
Email,"explain, of, part, difference, concern"
SMS,"over, rule"
SMS,"capital, commercial, writer"
SMS,"pass, little, admit, apply, take"
Email,"occur, great, real, here"
Email,air
Phone,"staff, role, television, program, common"
Phone,"sometimes, member, economic"
SMS,"likely, condition, often"
SMS,"tree, stop, source"
Phone,"coach, professional, young, western"
Email,"night, use"
Email,"discussion, remember, thus"
Email,"likely, up, test, state"
Phone,"where, put, by, deep, other"
Email,"outside, recently, fight, pull"
SMS,"road, current"
Email,"paper, treat, whom, class, see"
Phone,"police, common, listen"
Email,"with, will"
Phone,"avoid, go, white, blood, remember"
Phone,"could, help, everybody, newspaper, without"
SMS,"time, anything"
Email,"require, show, personal, note"
Phone,"president, deep, front, meet"
Email,our
Phone,available
Email,"operation, particularly"
Email,"explain, why"
Phone,"fish, wish"
Email,"issue, beautiful"
Email,"explain, view, travel, hit"
Phone,participant
Email,"to, need, pay"
SMS,"take, everyone, listen, relationship"
SMS,"crime, seem, step, each"
Phone,"heart, scientist, include, positive"
Email,change
SMS,"room, Mrs, realize, rock"
Email,"bad, quickly"
SMS,"language, good, ask, thank"
Phone,"dinner, factor, I, whole"
Email,"couple, set, still, skin, people"
Email,"financial, gas, recently, I"
SMS,"hour, Republican, defense, drug, including"
Phone,"run, ahead"
Email,"spend, leg, data, these"
SMS,"story, by"
SMS,"resource, check, old, benefit, activity"
Email,"yes, about, age"
Email,"hundred, Democrat, shoulder, tend"
SMS,throw
Phone,"deal, player, list, close, camera"
Email,"much, growth, point, close"
Email,"expect, thousand, property, region, everything"
Email,"shake, claim, religious, brother"
Phone,may
SMS,with
SMS,"by, beyond, source, four, any"
Email,"friend, conference"
SMS,"miss, thousand, road, state"
Email,"administration, throughout, to"
Phone,"commercial, land, reflect, fund, southern"
Phone,"economic, do, do, base, similar"
SMS,"increase, nature"
Email,"too, positive, form, down, Mr"
SMS,"song, central, way, chance, old"
Email,"of, win, huge, control"
Phone,"threat, tree, especially, per, scene"
SMS,"establish, explain, while"
Phone,"seem, involve, occur"
SMS,"employee, find, player, economic"
SMS,"heart, generation, military, usually, cultural"
SMS,"within, will"
Email,they
Email,"effect, piece, else, tell, top"
Phone,"almost, unit, letter, manage"
Email,official
Phone,"north, coach"
Email,"director, so, deal, avoid, Mrs"
SMS,"can, imagine, partner, like, rich"
SMS,"night, ready, improve, five"
Email,"strategy, suddenly, both, want, wish"
Email,"financial, discover, how, child"
Phone,"education, because, community"
Phone,"reduce, return, then"
Email,"their, future, soldier, apply"
Email,"firm, often"
Phone,"common, know, adult"
Phone,"woman, heavy, cell, happen, let"
Phone,own
Phone,third
Phone,"since, while, single, everyone, admit"
Phone,health
Phone,"save, knowledge, thing, power, animal"
SMS,"lose, new, amount, whatever"
Email,"would, food"
Email,"although, behind"
Email,"production, figure, help, owner, reach"
Phone,"treatment, government"
Email,draw
SMS,"near, should, send, threat, research"
Email,"condition, then, spring, rock, adult"
Phone,"lot, them, money, leave, son"
SMS,"but, four"
SMS,"reach, source"
Email,"free, music, all, art"
Phone,maybe
Email,TV
Phone,"different, consumer"
SMS,"reason, they, easy, manager"
SMS,"culture, interesting, movie, fact, base"
SMS,"will, increase, rule, agent, dark"
Phone,"police, share, meeting, science, let"
Phone,"politics, member, really, energy, generation"
Phone,"receive, treat, according, push"
Email,"nice, might, cause, center"
Phone,"large, party, reflect"
Email,"ask, structure, senior, feel, I"
Phone,"deep, hot, painting, determine"
SMS,"say, consumer, low, foreign"
Email,"use, according"
SMS,"another, south"
Phone,"once, drive, want"
Email,"style, citizen"
SMS,culture
Phone,"resource, security, east, parent, me"
Phone,"teacher, water"
Phone,"month, price"
Email,"think, month, page, attack"
Phone,"trouble, tough, fight"
Email,join
SMS,"series, decide, traditional, many"
SMS,"eat, early, join, general, owner"
Email,"nature, success"
SMS,"too, treat"
Phone,"figure, save, land, business, career"
SMS,"despite, each, Democrat"
Email,"fire, rest, PM, with"
Phone,white
Phone,feeling
Phone,"assume, soon, seven, son, nature"
SMS,"hot, discuss, age, memory, around"
Email,to
SMS,"leader, reveal"
SMS,"security, sound, before, themselves"
Email,"election, century, skill, source, plant"
Phone,"family, six, need, thank, some"
Email,"one, huge, end"
Email,"beat, success"
Phone,"store, music, much"
SMS,"read, point, responsibility, board"
SMS,attack
SMS,"responsibility, up, station, person"
SMS,"fill, beautiful, best, hit, heavy"
SMS,"relate, place"
Phone,"data, job, prepare, than, rich"
Phone,improve
Email,"land, fly, beautiful, middle, century"
Phone,"behavior, read, card, law, involve"
SMS,"available, company, cut, win, trip"
Email,"police, middle"
SMS,"wrong, call"
SMS,nice
Phone,day
Phone,"discussion, there, feel, large, performance"
Phone,include
SMS,nature
Email,me
Phone,high
SMS,late
SMS,"ground, at, computer"
SMS,cost
Email,finally
Email,once
Email,quickly
SMS,"hospital, water, affect, yeah"
Phone,"such, smile, someone, rich"
Phone,"myself, wait, language, forget"
Email,"ahead, performance, after, military"
Email,"form, stop, push, later"
Email,key
Email,"science, environmental, water, inside"
Phone,"return, table"
SMS,"take, purpose, recent"
Phone,"same, write, might, some"
Email,scientist
SMS,thousand
SMS,"Republican, huge"
SMS,"if, management"
Phone,"town, against, know"
Email,"his, item, work, institution"
Email,"wear, various, require, off, option"
Email,"fact, skin, church, agent"
Email,"four, sign, never, debate, project"
SMS,"break, Mr, control, teacher, glass"
SMS,"country, into, dog, someone"
SMS,"special, clearly, defense"
Phone,seat
Email,"into, step, world, around, should"
Email,"vote, technology"
SMS,"someone, choose, exist"
Email,"you, company"
Email,"ask, game, level, whether, ask"
SMS,"of, science, north, through"
Phone,"worker, skin, next, way"
Phone,"key, seat, tend, beyond"
Phone,"ready, determine"
SMS,"position, book"
Email,"plant, serious, soldier, likely, group"
SMS,"media, house, miss, provide, indicate"
SMS,"doctor, report, wear, parent"
Email,"lead, white, model, know, improve"
SMS,"I, fight, leader, whether"
Phone,"action, country, success, herself"
Phone,"fall, strong, treat, eat"
SMS,"recently, happen, summer"
Phone,"able, none"
Phone,"sound, education, break"
Email,"matter, health, far, once"
Phone,"the, manager"
Email,"nothing, say, practice, son, necessary"
Phone,"support, participant, nice"
SMS,"feeling, able"
SMS,"walk, oil, bill"
Phone,"law, remain, some, final, truth"
SMS,miss
Phone,"side, police"
SMS,I
Email,standard
SMS,"of, fish, than, visit"
SMS,"cup, move, role, drive"
Phone,"go, his, probably"
Email,"method, before, choice, benefit, bar"
Phone,"draw, beautiful, each"
Phone,"account, magazine, civil, chance, employee"
SMS,"cover, parent, recently, whom"
Phone,help
Email,"military, true, measure, guy, structure"
Email,"six, interview, husband"
SMS,"over, under, should"
Email,"various, study, day, admit"
SMS,"officer, beat"
Email,"discussion, cover"
Phone,possible
SMS,fish
SMS,score
Email,"capital, keep"
SMS,"sound, mouth, environment"
SMS,believe
Phone,"program, mouth"
SMS,"article, life, east"
Email,"north, education, thought"
Phone,"material, degree, south, walk, among"
Email,"enter, give, window, technology, follow"
Email,"age, born, subject, me"
Phone,"exactly, world"
Phone,"learn, would, bed, important"
Email,finally
Email,"by, now, the, later, concern"
Phone,"base, carry"
Phone,"environment, summer, she, still"
Email,blue
SMS,"within, million, win, try, but"
SMS,machine
Phone,"consumer, could, manage, TV, executive"
SMS,"few, it, low"
Phone,"clearly, wait, trouble, manage"
Email,"four, system, phone, bag, decade"
SMS,"American, education"
Email,"page, nation, marriage, stage"
SMS,"positive, race"
Phone,"never, decide"
Phone,"anything, oil, military, safe, economic"
Email,Mr
Phone,training
Phone,"fact, house, hit"
Phone,accept
SMS,"law, reason"
Email,"way, someone, doctor, college, street"
Email,"someone, something"
SMS,"watch, computer, lay"
SMS,"community, develop, organization, area, research"
Phone,"direction, view, full, late"
SMS,"everybody, someone"
Email,"statement, necessary, whatever, scene"
Phone,"better, green, less, way"
Email,"center, Republican, first, must, detail"
Email,"not, fight, serve, according"
SMS,now
SMS,"especially, natural"
Email,"few, personal, position"
SMS,"describe, huge, stop"
Email,"take, practice"
Phone,somebody
Email,"movement, without"
SMS,"participant, value, thank"
Email,"read, national"
Phone,send
Phone,pay
Email,"recent, him, actually, fast"
Email,"parent, value"
Email,"prepare, paper, few"
SMS,"environment, free, ever, market, campaign"
Phone,"the, outside, school, traditional, myself"
Email,"money, career"
Email,"ago, court"
Phone,it
Phone,big
Phone,yet
Email,"last, rich, degree, compare, catch"
Email,character
Phone,"fact, low, trade"
Email,"consumer, skill"
Phone,interest
Email,nor
Email,question
Phone,"blue, large, despite, result"
Phone,"each, whole, those, reflect, check"
SMS,"would, address"
Email,"staff, physical"
Email,"simply, international, either, remember"
SMS,"wide, guess"
SMS,"thing, particular, media, product"
Phone,"total, four, dinner, political, bar"
SMS,"glass, official, report, store"
Phone,"foreign, throughout, recently, everybody"
SMS,"at, answer, force, assume, with"
Email,finally
Phone,"process, improve, simply"
SMS,state
Email,"report, low"
SMS,usually
SMS,"summer, computer, once, fill, also"
Phone,research
Email,"often, event, among, institution, far"
Email,"west, page, activity"
SMS,"suffer, hope"
Email,"family, specific, bed, almost, trial"
SMS,"tonight, character, lay, author"
Email,production
SMS,"fund, I, second, relate"
Email,"material, front, future"
Email,spring
SMS,"real, them, risk, form, car"
Phone,"a, popular, wonder, account"
Email,"laugh, early, science, address"
Phone,"guy, whatever"
Phone,"tough, performance, provide, oil"
Email,"share, beautiful, low, move, son"
SMS,"example, assume, specific"
Email,"again, any"
Email,"yourself, leg, affect, go"
SMS,"popular, around, it, interest"
SMS,beautiful
Email,"approach, specific, national"
Phone,everybody
SMS,"need, apply, claim, poor"
Phone,"body, practice, understand, yes"
Phone,"political, because"
Phone,card
SMS,"role, interest"
Email,manage
SMS,policy
Phone,"sell, statement, common, give, benefit"
Email,"thus, parent"
Phone,"image, choice, pattern"
SMS,"support, American, building"
SMS,"thing, main"
SMS,western
Phone,"teach, almost, popular"
Phone,"report, method, degree"
Phone,"according, myself, chair, magazine, staff"
Phone,treat
SMS,"play, nation, apply"
Phone,"idea, structure, statement"
SMS,"politics, others, speak"
Email,"blue, child"
SMS,"out, brother, professional, business, approach"
Phone,them
Phone,"yes, happy, field"
Phone,"force, question, share"
Phone,"bed, my, throughout, cut, how"
Email,"few, unit, mean"
SMS,"organization, establish, recent, act, fast"
Email,style
SMS,"you, story"
Phone,"color, hospital, half, stuff"
SMS,produce
Phone,"including, ok, interview, safe, however"
Email,"indicate, recognize, fire, shake, indicate"
Phone,"church, discuss, treat"
SMS,"behind, above, author"
Email,"happy, executive, billion, project, loss"
SMS,"position, political"
SMS,list
Phone,"word, send, Mr, goal, through"
Phone,"its, pull, country"
Email,"role, above, product, leader, painting"
SMS,"race, treat, never, operation"
SMS,"first, in, involve"
SMS,"despite, poor"
SMS,"between, opportunity, serve, degree"
Phone,"glass, where"
Email,involve
Email,"blue, short, government, son, various"
Email,"purpose, threat, maintain, surface"
Phone,"very, affect, prove, city, floor"
Email,"practice, should, east"
SMS,"own, shake, fast"
SMS,"street, eight, no, commercial"
Phone,"drive, past, suggest"
SMS,"word, since"
SMS,"enter, member, crime, day"
Email,cost
SMS,"protect, politics, challenge"
Phone,"deal, take, perhaps"
Email,"popular, understand, point, structure, effort"
Phone,"traditional, message"
Phone,"live, mind, box, walk, night"
SMS,"thank, event, tend, thank, official"
Email,fire
Email,"want, receive"
SMS,"game, someone, within"
SMS,"event, fly, heavy, notice"
Phone,"wide, expert, own"
SMS,information
Phone,"within, prevent, catch, serious"
SMS,"tend, bar, style, fight"
Email,"full, determine"
Email,"nice, role, most"
Phone,page
Email,reality
Phone,suggest
Phone,nor
Phone,"quality, stage, black, listen, young"
SMS,"court, him"
SMS,"that, move, alone"
Phone,"then, manage, middle, value"
SMS,"moment, media"
Email,"always, form, car"
SMS,"team, safe, best"
Email,"game, meet"
Email,"it, think, item, drive, all"
SMS,get
SMS,"attention, ability, others"
Phone,"improve, claim"
Email,understand
Phone,"life, easy"
Email,"number, page, poor, nature, car"
Email,"occur, we, trouble"
Email,"decision, field, brother, girl"
Phone,"part, up, certain, country"
Phone,community
SMS,"movie, memory"
SMS,"provide, yourself, level"
Phone,"travel, job, system, bed, other"
Email,"force, message, help, story, total"
Phone,summer
SMS,"shake, gun"
SMS,"political, power, section, ball"
Phone,century
Email,"firm, debate"
Email,"structure, capital"
Phone,"peace, reach, participant"
SMS,"young, work, expect, run, price"
Phone,"everyone, discuss, price"
SMS,"want, community, miss, against"
SMS,"consumer, executive, development, heart"
Email,"hundred, relationship, must, specific"
Email,"become, TV, set"
Email,"state, common"
SMS,"edge, trial, trial, participant, audience"
Email,probably
Phone,"seat, because, action"
SMS,"care, against, should"
SMS,"investment, build"
Phone,"whatever, century, only"
Email,"civil, toward"
Phone,"race, power"
Phone,"anyone, rock, when, arm, everyone"
SMS,"own, court"
Email,"can, agency, program, since, his"
Phone,"raise, course, either, election"
Phone,"method, assume, economy"
SMS,"fish, look, want, law"
Phone,"only, ask"
Phone,"indicate, physical, chance, environmental"
Phone,"chance, history, behavior, fact"
Email,about
SMS,"news, eat, every, machine, opportunity"
Phone,future
SMS,"energy, money"
SMS,"into, debate, safe, produce, finish"
Phone,"avoid, Mr, summer, society"
Phone,"commercial, federal, theory, price, reach"
Phone,"including, entire"
Phone,"always, describe, western"
SMS,attorney
Email,"success, arrive, dream"
SMS,"music, but, loss"
Email,major
Email,"floor, relationship, image"
Email,"quite, girl, wonder, bill"
SMS,"model, professional, argue, exactly, see"
Phone,"successful, perform, page, song"
Email,"family, difficult, PM, writer"
Email,"training, kitchen"
Phone,"determine, certainly, write, several"
Email,"full, after, indeed, benefit"
Email,"Republican, rate, similar, happen, any"
SMS,"really, ten, bill"
SMS,imagine
Phone,"that, would, suggest, whether, how"
Phone,"world, heavy, under, tonight"
Email,other
Email,"fall, none, ever"
Email,"common, nearly"
Phone,"exist, time, feeling"
Email,"follow, why, laugh"
SMS,"note, stage, both"
SMS,area
Email,"girl, goal, manager, training"
Email,"green, article, admit, short, it"
Phone,"address, part"
Phone,"real, front, coach"
SMS,"company, teach"
Email,"on, statement"
SMS,"moment, value, wish, town"
SMS,prove
SMS,"indicate, spend, listen"
Phone,"throughout, even"
SMS,"win, line, animal"
Phone,"kid, consider"
Phone,"thing, value"
Email,"deep, sometimes"
Email,"worry, all, economy"
Phone,"college, sport, executive, leave, Congress"
Email,"price, defense, certain"
Email,visit
Email,order
SMS,"feel, season, arrive"
Email,"late, join"
Email,treatment
SMS,"station, population, lose"
Email,"piece, whom, many, onto, the"
Phone,"organization, painting, partner, interest, else"
Phone,"it, everyone, strong, common"
Phone,"our, natural, fish, trade"
Phone,"sometimes, score"
SMS,"country, history, everything, number"
SMS,"name, of, should, player"
Email,"knowledge, me, common, until, radio"
SMS,"small, discuss, sister"
Phone,"world, play, think"
Email,"care, pull, few"
Phone,"try, again, how"
Email,"include, big"
SMS,"perhaps, resource, Republican, artist"
Email,"forget, house, I, sound"
Phone,stuff
Phone,why
Email,"response, consumer, determine"
SMS,letter
Phone,"consumer, else, you, speak, back"
Phone,"pull, inside, natural, they"
SMS,low
SMS,"blue, already, time, music"
Phone,"true, we"
Phone,"appear, leg, attorney, forward"
SMS,"room, claim"
Phone,"quickly, thought, food, try, example"
Email,"receive, special, difference, skill, purpose"
Phone,"little, manage, check, country"
Email,"east, receive"
Email,"success, cultural, officer, window"
SMS,"can, practice, scene, campaign"
SMS,"stage, them"
SMS,"season, raise, throughout, prepare, enough"
Email,"age, ahead, beat, send, relationship"
SMS,"watch, best, official, anything"
Phone,"admit, hour, religious"
SMS,"he, wife, she"
Email,family
SMS,"hand, bad, true, travel, admit"
Email,"hundred, conference, sometimes, perform, face"
Phone,"beyond, concern"
SMS,"receive, huge"
Phone,"degree, someone, day, city, anything"
Phone,"report, through, fine, find, hope"
Phone,"situation, person, learn, least, lot"
Phone,hotel
Phone,"help, somebody"
Email,heavy
Email,"move, today, be"
Email,"hospital, expert, edge, open, affect"
Phone,"television, voice, already, foot"
SMS,argue
SMS,"memory, ability, center, break"
Phone,"general, mean, occur, star, direction"
SMS,"many, organization, everything"
SMS,without
SMS,"window, or, address, shake"
Email,"tonight, enough"
SMS,"us, former, hundred, want"
SMS,"arrive, current, girl, few"
Email,"continue, evening, time, begin"
Phone,"cut, central, measure, anyone"
Phone,"major, person, management"
Phone,"evening, care, stop, some"
SMS,"sing, or, bar, off, office"
Email,"walk, rest"
SMS,"military, capital, role, moment, interesting"
Email,affect
SMS,"reveal, what"
Email,"skin, computer, mean, black, no"
Phone,"difference, establish, popular, value"
Email,"value, bill, total, move, case"
Phone,"knowledge, wear, far, away, bring"
Email,"poor, what, job, commercial"
SMS,"away, would, what, would"
Phone,budget
SMS,"wind, room, article, tonight"
Phone,wide
SMS,"scientist, agency, house, budget, provide"
Email,eat
Phone,"thank, every, give"
Email,"education, inside, at, wind"
SMS,"idea, white, any, arrive"
Email,"allow, few, relate, condition, upon"
SMS,"right, shake, TV"
Phone,"bag, seek, program"
SMS,"line, star, spend"
SMS,"conference, activity, campaign"
SMS,"company, into, general, interest, situation"
SMS,"teach, cost, herself, bring, either"
SMS,he
Email,both
Email,"she, every"
Phone,"significant, training, size, throw, quality"
SMS,opportunity
Phone,be
Phone,"itself, risk"
Phone,maintain
Email,"management, happen, decision, how"
Email,"act, assume, father"
Email,"identify, west"
Phone,"high, look, dog, stop"
Phone,"boy, well"
SMS,"miss, enjoy"
Email,"soldier, thank"
Phone,"myself, important, military"
Email,"century, plan, every"
Email,"apply, student, tree, so"
SMS,"ask, court, I"
Phone,particular
SMS,"month, everything"
Phone,"rock, bed, apply, western"
Phone,"TV, not"
Phone,"simply, worry, until, high, couple"
SMS,"character, city, program, find"
Phone,"thank, computer"
Email,"message, man, someone, too"
SMS,"likely, beat, young, fund"
SMS,"sit, raise, start, south"
SMS,"certainly, world, myself, study"
Phone,"gas, exist"
Email,"eight, international, fight, oil, reach"
Phone,future
SMS,"side, let, record, hope, use"
SMS,"beyond, drop"
SMS,"nation, exactly"
Phone,but
Phone,"debate, among"
Phone,"major, wind"
SMS,"expect, at, he, report, society"
Email,"affect, herself, investment"
Email,"child, hospital, mean, although"
Email,"book, tell, put, spring"
Email,"head, conference, only"
Email,"threat, determine"
Email,"sea, argue"
SMS,"including, price, just, inside, difference"
Email,"hear, appear, themselves"
Email,pass
Email,expect
Phone,"practice, third, black, hair"
SMS,"board, remember, bar, really, light"
Phone,"another, science"
Phone,officer
Email,"build, drive, and"
Phone,"attention, stand, benefit, game, cost"
SMS,tree
Phone,leader
Phone,"service, behind"
Email,"no, main"
Email,"standard, defense, true"
SMS,"responsibility, or, care"
Email,"suggest, true, former, school"
Phone,"despite, push, may, million, maybe"
SMS,certainly
Email,"book, along, bag"
Email,evening
SMS,"on, product"
SMS,"glass, rock, difficult, leave"
SMS,"responsibility, few, class"
SMS,election
Email,people
Email,"east, anyone, training, avoid"
Email,"reveal, cut, high"
Email,"father, market"
SMS,"coach, himself, approach, line"
SMS,"star, want, state, word, view"
Phone,"color, rate"
Phone,"leader, unit, suggest"
SMS,"common, discover, plant, become, avoid"
Email,"low, measure"
SMS,"way, project, store"
